"source_table","rows","disposition","reason_code","domain_owner","decision_status","migration_query_id","transform_version","expected_row_outcomes"
"b_abtest","9","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_admin_notify","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_admin_notify_lang","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner","11","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_country","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_day","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_group","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_page","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_site","11","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_stat_adv","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_banner_2_weekday","1848","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract_2_page","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract_2_site","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract_2_type","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract_2_user","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_contract_2_weekday","168","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_adv_type","5","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_agent","236","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_baas_package","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_chatbot_chat","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_chatbot_chatbot","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_chatbot_message","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_chatbot_message_unread","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_counter","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_engine","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_history","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_image_style_prompt","37","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_plan","18","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt","210","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_category","424","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_display_rule","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_owner","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_owner_option","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_share","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_prompt_translate_name","3377","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_queue","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_recent_role","15","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role","33","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_display_rule","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_favorite","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_industry","1","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_owner","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_prompt","114","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_share","16","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_translate_description","540","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_role_translate_name","540","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_section","8","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_ai_usage","6","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_app_password","13","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_b24connector_button_site","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_b24connector_buttons","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_dashboard","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_dashboard_user","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_dict_structure_agg","5","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_dictionary_cache","4","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_dictionary_data","44","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_external_dataset","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
"b_biconnector_external_dataset_field","0","exclude_with_reason","outside_contract_scope_v1","legacy_system_owner","requires_owner_confirmation_before_gate_d","N/A","N/A","0"
