"table","rows","columns","has_primary_key","unique_indexes","secondary_indexes","foreign_keys","checks","engine","collation","sensitive_column_classes"
"b_abtest",9,14,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_admin_notify",0,7,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_admin_notify_lang",0,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_adv_banner",11,52,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_adv_banner_2_country",0,4,false,0,3,0,0,"InnoDB","utf8mb4_0900_ai_ci","address_location"
"b_adv_banner_2_day",0,5,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_banner_2_group",0,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_banner_2_page",0,4,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_banner_2_site",11,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_banner_2_stat_adv",0,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_banner_2_weekday",1848,3,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_contract",1,22,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","email|message_content|person_name"
"b_adv_contract_2_page",0,4,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_contract_2_site",1,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_contract_2_type",1,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_contract_2_user",0,4,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_contract_2_weekday",168,3,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_adv_type",5,9,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content|person_name"
"b_agent",236,13,true,0,5,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_ai_baas_package",0,3,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_chatbot_chat",0,7,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_chatbot_chatbot",1,5,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_chatbot_message",0,7,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_chatbot_message_unread",0,5,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_counter",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_ai_engine",0,8,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_ai_history",0,15,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_image_style_prompt",37,8,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret|person_name"
"b_ai_plan",18,5,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret"
"b_ai_prompt",210,23,true,0,5,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret|message_content"
"b_ai_prompt_category",424,2,false,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_prompt_display_rule",0,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_ai_prompt_owner",0,5,true,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_prompt_owner_option",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_prompt_share",0,5,true,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_prompt_translate_name",3377,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_queue",0,13,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret"
"b_ai_recent_role",15,5,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_role",33,19,true,0,5,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret|message_content|person_name"
"b_ai_role_display_rule",0,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_ai_role_favorite",1,4,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_role_industry",1,7,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret|person_name"
"b_ai_role_owner",0,4,true,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_role_prompt",114,3,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_role_share",16,5,true,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_ai_role_translate_description",540,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_role_translate_name",540,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_ai_section",8,5,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret"
"b_ai_usage",6,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_app_password",13,11,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret|message_content|network_device"
"b_b24connector_button_site",0,3,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_b24connector_buttons",0,6,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_dashboard",0,8,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_dashboard_user",0,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_dict_structure_agg",5,5,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_dictionary_cache",4,3,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_dictionary_data",44,3,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_external_dataset",0,11,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content|person_name"
"b_biconnector_external_dataset_field",0,6,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_external_dataset_field_format",0,4,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_external_source",0,10,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_biconnector_external_source_dataset_relation",0,3,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_external_source_rest",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_external_source_rest_connector",0,12,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_biconnector_external_source_settings",0,6,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_key",1,10,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_key_user",0,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_log",240,14,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_permission",47,4,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_permission_tmp",16,4,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_role",3,2,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_role_relation",5,3,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard",35,15,true,0,3,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_group",5,7,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_superset_dashboard_group_binding",32,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_group_binding_tmp",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_group_scope",5,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_group_scope_tmp",5,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_group_tmp",5,7,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_biconnector_superset_dashboard_tag",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_dashboard_url_parameter",19,3,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_scope",42,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_tag",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_biconnector_superset_user",7,5,true,0,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","authentication_secret"
"b_bitrixcloud_option",4,5,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_blog",16,26,true,1,4,0,0,"InnoDB","utf8mb4_0900_ai_ci","email|message_content|person_name"
"b_blog_category",2,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_blog_comment",1,17,true,0,4,0,0,"InnoDB","utf8mb4_0900_ai_ci","email|message_content|network_device|person_name"
"b_blog_group",1,3,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_blog_image",0,10,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_blog_post",3,34,true,0,7,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_blog_post_category",2,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_post_param",0,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_blog_site_path",5,4,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_socnet",16,2,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_socnet_rights",6,5,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_trackback",0,8,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content|person_name"
"b_blog_user",14,9,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_blog_user2blog",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_user2user_group",0,4,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_blog_user_group",2,3,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci","person_name"
"b_blog_user_group_perms",76,7,true,1,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_booking",0,20,true,0,7,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content|person_name"
"b_booking_booking_client",0,7,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_booking_external_data",0,7,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_booking_message",0,7,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_booking_booking_message_failure_log",0,8,true,0,2,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_booking_booking_note",0,5,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci","message_content"
"b_booking_booking_resource",0,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_client_type",0,3,true,1,0,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_delayed_task",0,7,true,0,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_favorites",0,4,true,1,1,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
"b_booking_journal",0,7,true,0,4,0,0,"InnoDB","utf8mb4_0900_ai_ci",""
